882 4711
 36 542 0.250000
 37 119 0.020408
 37 152 0.020408
 37 159 0.020408
 37 317 0.020408
 37 333 0.020408
 37 337 0.020408
 37 338 0.020408
 37 339 0.020408
 37 340 0.020408
 37 341 0.020408
 37 459 0.020408
 37 570 0.020408
 38 39 1.081633
 38 40 0.081633
 38 41 0.081633
 38 42 0.081633
 38 43 0.081633
 38 44 0.081633
 38 62 1.000000
 38 71 1.000000
 39 40 1.081633
 39 41 0.081633
 39 42 0.081633
 39 43 0.081633
 39 44 0.081633
 39 71 1.000000
 40 41 1.081633
 40 42 0.081633
 40 43 0.081633
 40 44 0.081633
 40 71 0.444444
 41 42 1.081633
 41 43 0.081633
 41 44 0.081633
 41 75 1.000000
 42 43 1.081633
 42 44 0.081633
 42 76 1.000000
 43 44 0.081633
 43 68 0.444444
 43 75 0.444444
 44 67 0.444444
 44 77 0.444444
 45 46 1.000000
 45 49 0.049383
 45 55 1.000000
 45 59 0.444444
 45 62 0.049383
 45 65 0.049383
 45 405 0.444444
 46 51 0.484444
 46 52 0.040000
 46 61 0.444444
 46 62 0.040000
 46 67 1.000000
 46 114 0.040000
 46 119 0.040000
 46 403 1.000000
 47 48 1.000000
 47 56 1.000000
 47 89 0.250000
 47 479 0.250000
 47 480 0.250000
 48 50 0.081633
 48 51 0.081633
 48 55 0.081633
 48 56 0.241633
 48 57 0.081633
 48 64 0.160000
 48 65 0.444444
 48 73 0.081633
 48 74 0.160000
 48 505 0.444444
 49 57 1.000000
 49 60 0.444444
 49 61 0.444444
 49 62 0.049383
 49 63 0.250000
 49 65 0.049383
 49 66 0.694444
 49 69 0.250000
 49 420 0.444444
 50 51 0.526077
 50 55 0.526077
 50 56 0.081633
 50 57 0.081633
 50 63 1.444444
 50 66 0.444444
 50 68 0.444444
 50 69 0.444444
 50 73 0.081633
 51 52 0.040000
 51 55 0.526077
 51 56 0.081633
 51 57 0.081633
 51 61 0.444444
 51 62 0.040000
 51 67 1.000000
 51 73 0.081633
 51 114 0.040000
 51 119 0.040000
 52 53 1.250000
 52 54 0.250000
 52 62 0.040000
 52 77 0.250000
 52 114 0.040000
 52 119 0.040000
 53 54 1.250000
 53 77 0.250000
 54 58 0.444444
 54 77 0.250000
 55 56 0.081633
 55 57 0.081633
 55 73 0.081633
 56 57 0.081633
 56 64 0.160000
 56 73 0.081633
 56 74 0.160000
 57 60 1.000000
 57 73 0.081633
 58 59 1.000000
 59 70 1.000000
 59 405 0.444444
 60 76 1.000000
 60 420 0.444444
 61 64 0.444444
 61 66 0.444444
 61 101 0.444444
 62 65 0.049383
 62 114 0.040000
 62 119 0.040000
 63 66 0.694444
 63 69 0.250000
 64 74 0.160000
 64 101 0.444444
 64 328 0.444444
 65 75 0.444444
 65 407 0.444444
 65 505 0.444444
 65 605 1.000000
 65 842 0.444444
 66 69 0.250000
 66 70 1.000000
 67 73 1.000000
 67 77 0.444444
 68 69 0.444444
 68 71 0.444444
 68 72 1.000000
 68 75 0.888889
 69 72 1.000000
 69 420 1.000000
 70 72 1.000000
 70 145 1.000000
 71 75 0.444444
 72 75 1.000000
 73 455 1.000000
 74 79 0.081633
 74 86 0.081633
 74 111 0.081633
 75 407 0.444444
 78 83 0.444444
 78 84 0.444444
 78 85 0.444444
 78 86 1.000000
 78 89 0.444444
 78 503 0.444444
 78 747 0.444444
 79 86 0.081633
 79 87 1.000000
 79 91 0.444444
 79 97 0.444444
 79 98 1.000000
 79 109 1.000000
 79 111 0.081633
 80 82 0.160000
 80 91 1.000000
 80 94 1.000000
 80 98 1.160000
 80 99 0.160000
 80 112 1.000000
 80 850 0.160000
 81 88 1.000000
 81 90 0.444444
 81 91 0.444444
 81 97 0.444444
 81 99 0.444444
 81 101 0.444444
 81 626 0.444444
 82 88 0.444444
 82 90 1.000000
 82 94 0.444444
 82 98 0.160000
 82 99 1.160000
 82 100 0.444444
 82 105 0.444444
 82 850 0.160000
 83 84 0.312500
 83 87 0.250000
 83 89 0.444444
 83 112 0.250000
 83 564 0.062500
 83 566 0.062500
 83 567 0.062500
 83 571 1.000000
 84 85 0.444444
 84 87 0.250000
 84 112 0.250000
 84 564 0.062500
 84 566 0.062500
 84 567 0.062500
 85 110 1.000000
 86 87 0.033058
 86 88 0.033058
 86 98 0.033058
 86 99 0.033058
 86 110 0.033058
 86 111 0.081633
 86 120 0.033058
 86 459 0.033058
 86 463 0.033058
 86 488 0.033058
 87 88 0.033058
 87 98 0.033058
 87 99 0.033058
 87 110 0.033058
 87 112 0.250000
 87 120 0.033058
 87 459 0.033058
 87 463 0.033058
 87 488 0.033058
 88 94 0.444444
 88 98 0.033058
 88 99 0.033058
 88 110 0.033058
 88 120 0.033058
 88 459 0.033058
 88 463 0.033058
 88 488 0.033058
 89 479 0.250000
 89 480 0.250000
 89 606 1.000000
 90 91 0.160000
 90 95 0.160000
 90 97 0.444444
 90 104 0.160000
 90 853 0.160000
 91 95 0.160000
 91 97 0.444444
 91 99 0.444444
 91 104 0.160000
 91 853 0.160000
 92 93 0.444444
 92 104 0.444444
 92 105 0.160000
 92 641 0.160000
 92 674 0.160000
 92 675 0.160000
 92 855 1.000000
 93 96 0.444444
 93 104 0.444444
 93 698 0.444444
 93 856 0.444444
 94 95 1.000000
 95 96 0.250000
 95 104 0.160000
 95 730 0.250000
 95 848 1.000000
 95 852 1.000000
 95 853 0.160000
 95 854 0.250000
 96 100 1.000000
 96 104 0.444444
 96 730 0.250000
 96 851 0.444444
 96 854 0.250000
 96 856 0.444444
 97 847 1.000000
 98 99 0.193058
 98 110 0.033058
 98 120 0.033058
 98 459 0.033058
 98 463 0.033058
 98 488 0.033058
 98 850 0.160000
 99 110 0.033058
 99 120 0.033058
 99 459 0.033058
 99 463 0.033058
 99 488 0.033058
 99 850 0.160000
 100 105 0.444444
 100 849 1.000000
 101 626 0.444444
 102 103 0.444444
 102 108 0.444444
 102 786 0.049383
 102 789 0.049383
 102 792 0.049383
 102 795 0.049383
 102 798 0.049383
 102 801 0.049383
 102 804 0.049383
 102 807 0.049383
 103 108 0.444444
 103 810 0.049383
 103 813 0.049383
 103 816 0.049383
 103 819 0.049383
 103 822 0.049383
 103 825 0.049383
 103 828 0.049383
 103 831 0.049383
 104 851 0.444444
 104 853 0.160000
 105 106 1.000000
 105 641 0.160000
 105 674 0.160000
 105 675 0.160000
 106 107 1.000000
 107 108 1.000000
 109 113 0.160000
 109 147 0.250000
 109 160 0.250000
 109 567 0.250000
 109 844 0.160000
 110 111 1.000000
 110 120 0.033058
 110 459 0.033058
 110 463 0.033058
 110 488 0.033058
 111 112 1.000000
 111 113 1.000000
 113 128 0.160000
 113 160 0.160000
 113 564 0.160000
 113 572 0.160000
 113 844 0.160000
 114 119 0.040000
 114 444 0.015625
 114 448 0.015625
 114 451 0.015625
 114 731 0.015625
 114 732 0.015625
 114 733 0.015625
 114 734 0.015625
 114 735 0.015625
 114 736 0.015625
 114 737 0.015625
 114 738 0.015625
 114 739 0.015625
 114 740 0.015625
 114 741 0.015625
 115 116 0.444444
 115 117 0.477502
 115 119 0.444444
 115 120 0.444444
 115 134 0.033058
 115 446 0.033058
 115 450 0.033058
 115 453 0.033058
 115 455 0.033058
 115 464 0.033058
 115 468 0.033058
 115 639 0.033058
 115 672 1.000000
 116 117 0.444444
 116 658 0.012346
 116 659 0.012346
 116 660 0.012346
 116 661 0.012346
 116 662 0.012346
 116 663 0.012346
 116 664 0.012346
 116 665 0.012346
 116 666 0.012346
 116 667 0.012346
 116 668 0.012346
 116 669 0.012346
 116 670 0.012346
 116 671 0.012346
 116 672 0.012346
 116 673 0.012346
 116 677 0.012346
 117 134 0.033058
 117 146 0.250000
 117 446 0.033058
 117 450 0.033058
 117 453 0.033058
 117 455 0.033058
 117 464 0.033058
 117 468 0.033058
 117 542 0.250000
 117 639 0.033058
 117 671 1.000000
 118 119 1.000000
 118 120 1.000000
 118 143 0.250000
 119 120 0.444444
 119 152 0.020408
 119 159 0.020408
 119 317 0.020408
 119 333 0.020408
 119 337 0.020408
 119 338 0.020408
 119 339 0.020408
 119 340 0.020408
 119 341 0.020408
 119 459 0.020408
 119 570 0.020408
 120 459 0.033058
 120 463 0.033058
 120 488 0.033058
 121 122 0.250000
 121 123 0.444444
 121 133 1.000000
 121 307 0.444444
 121 308 0.250000
 121 319 0.250000
 122 124 0.081633
 122 135 0.444444
 122 148 0.444444
 122 153 0.081633
 122 307 0.081633
 122 308 0.331633
 122 319 0.250000
 122 336 0.081633
 122 719 0.081633
 123 124 0.160000
 123 130 0.444444
 123 136 0.444444
 123 307 0.444444
 123 308 0.160000
 123 309 0.160000
 123 720 0.160000
 124 132 0.250000
 124 137 0.250000
 124 144 0.250000
 124 153 0.081633
 124 307 0.081633
 124 308 0.241633
 124 309 0.160000
 124 336 0.081633
 124 719 0.081633
 124 720 0.160000
 125 127 0.111111
 125 129 0.111111
 125 130 1.000000
 125 147 0.160000
 125 153 0.160000
 125 309 0.111111
 125 310 0.111111
 125 311 0.160000
 125 322 0.160000
 125 721 0.111111
 126 127 0.111111
 126 129 0.111111
 126 133 0.160000
 126 135 0.160000
 126 136 0.160000
 126 137 0.160000
 126 148 0.160000
 126 158 0.160000
 126 309 0.160000
 126 311 0.111111
 126 320 0.160000
 126 723 0.111111
 127 129 0.222222
 127 132 0.444444
 127 144 0.444444
 127 309 0.111111
 127 310 0.111111
 127 311 0.111111
 127 721 0.111111
 127 723 0.111111
 128 138 0.250000
 128 142 0.250000
 128 160 0.160000
 128 467 0.250000
 128 564 0.160000
 128 572 0.160000
 128 640 1.000000
 129 139 1.000000
 129 309 0.111111
 129 310 0.111111
 129 311 0.111111
 129 721 0.111111
 129 723 0.111111
 130 136 0.444444
 130 140 1.000000
 131 134 0.694444
 131 135 1.000000
 131 667 0.250000
 131 671 0.250000
 131 692 0.444444
 132 137 0.250000
 132 139 0.444444
 132 144 0.854444
 132 150 0.444444
 132 158 0.160000
 132 310 0.160000
 132 321 0.160000
 133 134 1.000000
 133 135 0.320000
 133 136 0.320000
 133 137 0.320000
 133 138 0.160000
 134 446 0.033058
 134 450 0.033058
 134 453 0.033058
 134 455 0.033058
 134 464 0.033058
 134 468 0.033058
 134 639 0.033058
 134 667 0.250000
 134 671 0.250000
 134 692 0.444444
 135 136 0.320000
 135 137 0.320000
 135 138 0.160000
 135 148 0.444444
 136 137 0.320000
 136 138 0.160000
 136 710 0.444444
 136 712 0.444444
 137 138 0.160000
 137 144 0.250000
 137 709 0.444444
 137 711 0.444444
 138 141 0.020408
 138 142 0.250000
 138 148 0.180408
 138 154 0.020408
 138 155 0.020408
 138 157 0.160000
 138 318 0.020408
 138 319 0.020408
 138 320 0.020408
 138 321 0.020408
 138 322 0.020408
 138 328 0.020408
 138 335 0.020408
 138 467 0.250000
 138 663 0.020408
 138 673 0.160000
 139 140 1.000000
 139 141 1.000000
 139 144 1.000000
 139 150 0.444444
 140 156 0.111111
 140 347 0.111111
 140 729 0.111111
 141 148 0.020408
 141 149 1.000000
 141 154 0.020408
 141 155 0.020408
 141 318 0.020408
 141 319 0.020408
 141 320 0.020408
 141 321 0.020408
 141 322 0.020408
 141 328 0.020408
 141 335 0.020408
 141 663 0.020408
 142 146 0.444444
 142 147 0.444444
 142 148 0.444444
 142 151 0.444444
 142 161 0.013841
 142 234 0.013841
 142 364 0.013841
 142 365 0.013841
 142 386 0.013841
 142 387 0.013841
 142 451 0.013841
 142 457 0.013841
 142 467 0.263841
 142 493 0.013841
 142 522 0.013841
 142 608 0.013841
 142 627 0.013841
 142 699 0.013841
 142 748 0.013841
 143 145 1.000000
 143 149 0.444444
 143 157 0.444444
 144 158 0.160000
 144 310 0.160000
 144 321 0.160000
 145 146 0.444444
 145 159 0.444444
 145 701 0.444444
 145 708 0.444444
 146 151 0.444444
 146 159 0.444444
 146 542 0.250000
 146 841 1.000000
 147 148 0.444444
 147 153 0.160000
 147 160 0.250000
 147 311 0.160000
 147 322 0.160000
 147 567 0.250000
 148 154 0.020408
 148 155 0.020408
 148 157 0.160000
 148 158 0.160000
 148 309 0.160000
 148 318 0.020408
 148 319 0.020408
 148 320 0.180408
 148 321 0.020408
 148 322 0.020408
 148 328 0.020408
 148 335 0.020408
 148 663 0.020408
 148 673 0.160000
 149 152 1.000000
 149 156 1.000000
 149 157 0.444444
 151 464 0.111111
 151 692 0.111111
 151 693 0.111111
 151 694 0.111111
 151 695 0.111111
 152 159 0.020408
 152 317 0.020408
 152 333 0.020408
 152 337 0.020408
 152 338 0.020408
 152 339 0.020408
 152 340 0.020408
 152 341 0.020408
 152 456 0.160000
 152 459 0.020408
 152 460 0.160000
 152 466 0.160000
 152 570 0.020408
 152 866 1.000000
 152 867 0.160000
 153 154 1.000000
 153 158 1.000000
 153 307 0.081633
 153 308 0.081633
 153 311 0.160000
 153 322 0.160000
 153 336 0.081633
 153 719 0.081633
 154 155 1.020408
 154 318 0.020408
 154 319 0.020408
 154 320 0.020408
 154 321 0.020408
 154 322 0.020408
 154 328 0.020408
 154 335 0.020408
 154 663 0.020408
 155 156 1.000000
 155 318 0.020408
 155 319 0.020408
 155 320 0.020408
 155 321 0.020408
 155 322 0.020408
 155 328 0.020408
 155 335 0.020408
 155 663 0.020408
 156 347 0.111111
 156 463 0.444444
 156 465 0.444444
 156 729 0.111111
 157 673 0.160000
 158 309 0.160000
 158 310 0.160000
 158 320 0.160000
 158 321 0.160000
 159 317 0.020408
 159 333 0.020408
 159 337 0.020408
 159 338 0.020408
 159 339 0.020408
 159 340 0.020408
 159 341 0.020408
 159 459 0.020408
 159 570 0.020408
 160 564 0.160000
 160 567 0.250000
 160 572 0.160000
 161 179 0.160000
 161 203 0.160000
 161 217 0.160000
 161 226 0.160000
 161 234 0.013841
 161 364 0.013841
 161 365 0.013841
 161 386 0.013841
 161 387 0.013841
 161 451 0.013841
 161 457 0.013841
 161 467 0.013841
 161 493 0.013841
 161 522 0.013841
 161 608 0.013841
 161 627 0.013841
 161 699 0.013841
 161 748 0.013841
 162 163 0.081633
 162 164 0.081633
 162 165 0.081633
 162 166 0.163265
 162 167 0.163265
 162 168 0.526077
 162 172 0.081633
 162 173 1.000000
 162 174 0.081633
 162 178 0.081633
 162 179 0.081633
 162 511 0.444444
 163 164 1.331633
 163 165 1.331633
 163 166 0.081633
 163 167 0.081633
 163 178 0.081633
 163 180 0.250000
 164 165 0.776077
 164 166 0.526077
 164 167 0.081633
 164 178 0.081633
 164 180 0.250000
 165 166 0.526077
 165 167 0.081633
 165 178 0.081633
 165 180 0.250000
 166 167 0.163265
 166 168 0.081633
 166 172 0.081633
 166 174 0.081633
 166 175 1.000000
 166 178 0.081633
 166 179 0.081633
 167 168 0.526077
 167 172 0.081633
 167 173 0.444444
 167 174 0.081633
 167 178 0.081633
 167 179 0.081633
 167 182 1.000000
 168 169 0.111111
 168 170 0.111111
 168 171 0.111111
 168 172 0.192744
 168 173 0.444444
 168 174 0.081633
 168 177 0.111111
 168 179 0.081633
 168 511 0.444444
 169 170 1.361111
 169 171 1.361111
 169 172 0.111111
 169 177 0.111111
 169 181 0.250000
 170 171 0.805556
 170 172 0.555556
 170 177 0.111111
 170 181 0.250000
 171 172 0.555556
 171 177 0.111111
 171 181 0.250000
 172 174 0.081633
 172 175 1.000000
 172 177 0.111111
 172 179 0.081633
 173 174 1.000000
 174 179 0.081633
 174 180 0.444444
 174 181 0.444444
 175 207 0.444444
 175 230 0.444444
 176 177 1.000000
 176 178 1.000000
 179 203 0.160000
 179 217 0.160000
 179 226 0.160000
 180 181 0.444444
 182 183 0.505280
 182 184 0.060836
 182 185 0.060836
 182 186 0.060836
 182 187 0.060836
 182 188 0.060836
 182 189 0.060836
 182 190 0.060836
 182 191 0.060836
 182 198 0.444444
 182 203 0.027778
 182 205 0.027778
 182 208 0.033058
 183 184 0.505280
 183 185 0.060836
 183 186 0.060836
 183 187 0.060836
 183 188 0.060836
 183 189 0.060836
 183 190 0.060836
 183 191 0.060836
 183 198 0.888889
 183 203 0.027778
 183 205 0.027778
 183 208 0.033058
 184 185 0.310836
 184 186 0.060836
 184 187 0.060836
 184 188 0.060836
 184 189 0.060836
 184 190 0.060836
 184 191 0.060836
 184 197 0.250000
 184 198 0.444444
 184 203 0.027778
 184 205 0.277778
 184 206 1.000000
 184 208 0.033058
 185 186 1.060836
 185 187 0.060836
 185 188 0.060836
 185 189 0.060836
 185 190 0.060836
 185 191 0.060836
 185 197 0.250000
 185 203 0.027778
 185 204 1.000000
 185 205 0.277778
 185 208 0.033058
 186 187 0.310836
 186 188 0.060836
 186 189 0.060836
 186 190 0.060836
 186 191 0.060836
 186 194 0.250000
 186 195 1.000000
 186 196 0.250000
 186 203 0.027778
 186 205 0.027778
 186 208 0.033058
 187 188 0.310836
 187 189 0.060836
 187 190 0.060836
 187 191 0.060836
 187 194 0.500000
 187 195 1.000000
 187 196 0.250000
 187 203 0.027778
 187 205 0.027778
 187 206 0.250000
 187 208 0.033058
 188 189 0.505280
 188 190 0.060836
 188 191 0.060836
 188 194 0.694444
 188 195 1.000000
 188 203 0.027778
 188 205 0.027778
 188 206 0.250000
 188 208 0.033058
 189 190 0.505280
 189 191 0.060836
 189 192 0.444444
 189 193 1.000000
 189 194 0.444444
 189 203 0.027778
 189 205 0.027778
 189 208 0.033058
 190 191 0.505280
 190 192 0.888889
 190 193 1.000000
 190 203 0.027778
 190 205 0.027778
 190 208 0.033058
 191 192 1.444444
 191 193 1.000000
 191 203 0.027778
 191 205 0.027778
 191 208 0.033058
 192 199 1.000000
 193 200 1.000000
 194 196 0.250000
 194 199 1.000000
 194 206 0.250000
 195 200 1.000000
 196 197 0.160000
 196 204 0.160000
 196 205 0.444444
 196 206 0.444444
 196 207 0.444444
 196 208 0.444444
 196 217 0.160000
 196 223 0.160000
 197 199 0.250000
 197 200 0.250000
 197 204 0.160000
 197 205 0.250000
 197 217 0.160000
 197 223 0.160000
 197 225 0.250000
 198 199 0.444444
 198 200 0.444444
 199 200 0.694444
 199 201 0.444444
 199 202 0.444444
 199 225 0.250000
 200 201 1.000000
 200 225 0.250000
 201 202 0.444444
 201 227 1.000000
 202 220 1.000000
 203 205 0.027778
 203 217 0.160000
 203 226 0.160000
 204 217 0.160000
 204 223 0.160000
 205 206 0.444444
 205 232 1.000000
 206 233 1.000000
 207 208 0.444444
 207 230 0.444444
 209 210 0.555556
 209 211 0.111111
 209 212 0.111111
 209 213 0.111111
 209 214 0.444444
 209 216 0.111111
 209 221 0.250000
 209 222 0.250000
 209 228 0.444444
 209 230 0.250000
 209 410 0.444444
 210 211 1.111111
 210 212 0.111111
 210 213 0.111111
 210 214 1.000000
 210 216 0.111111
 210 228 0.444444
 211 212 1.111111
 211 213 0.111111
 211 214 1.000000
 211 216 0.111111
 212 213 0.555556
 212 215 0.444444
 212 216 0.111111
 213 215 1.444444
 213 216 0.111111
 214 215 1.000000
 214 410 0.444444
 215 222 1.000000
 216 221 0.444444
 216 231 0.444444
 217 218 0.250000
 217 223 0.160000
 217 226 0.160000
 217 228 0.250000
 217 233 0.250000
 217 348 0.444444
 217 404 0.444444
 218 222 0.444444
 218 223 1.444444
 218 224 0.444444
 218 228 0.250000
 218 232 0.444444
 218 233 0.250000
 219 222 0.444444
 219 224 1.000000
 219 226 1.000000
 219 229 0.444444
 219 403 0.444444
 219 445 0.444444
 220 221 0.444444
 220 226 0.160000
 220 229 0.444444
 220 231 0.160000
 220 405 0.160000
 220 406 0.444444
 220 410 0.160000
 220 443 0.444444
 221 222 0.250000
 221 227 1.444444
 221 228 0.444444
 221 229 0.444444
 221 230 0.250000
 221 231 0.444444
 222 228 1.000000
 222 229 0.444444
 222 230 0.250000
 222 232 0.444444
 223 224 0.444444
 224 225 0.444444
 224 233 0.444444
 225 233 1.444444
 226 231 0.160000
 226 405 0.160000
 226 410 0.160000
 227 228 0.444444
 228 233 0.250000
 229 232 0.444444
 229 233 0.444444
 231 405 0.160000
 231 410 0.160000
 232 233 0.444444
 234 252 0.160000
 234 276 0.160000
 234 290 0.160000
 234 299 0.160000
 234 364 0.013841
 234 365 0.013841
 234 386 0.013841
 234 387 0.013841
 234 451 0.013841
 234 457 0.013841
 234 467 0.013841
 234 493 0.013841
 234 522 0.013841
 234 608 0.013841
 234 627 0.013841
 234 699 0.013841
 234 748 0.013841
 235 236 0.081633
 235 237 0.081633
 235 238 0.081633
 235 239 0.163265
 235 240 0.163265
 235 241 0.526077
 235 245 0.081633
 235 246 1.000000
 235 247 0.081633
 235 251 0.081633
 235 252 0.081633
 235 516 0.444444
 236 237 1.331633
 236 238 1.331633
 236 239 0.081633
 236 240 0.081633
 236 251 0.081633
 236 253 0.250000
 237 238 0.776077
 237 239 0.526077
 237 240 0.081633
 237 251 0.081633
 237 253 0.250000
 238 239 0.526077
 238 240 0.081633
 238 251 0.081633
 238 253 0.250000
 239 240 0.163265
 239 241 0.081633
 239 245 0.081633
 239 247 0.081633
 239 248 1.000000
 239 251 0.081633
 239 252 0.081633
 240 241 0.526077
 240 245 0.081633
 240 246 0.444444
 240 247 0.081633
